"company_id","tenure_days","is_new_customer","is_mature_customer","days_to_contract_end","contract_expiring_soon","baseline_type","baseline_weekly_avg","max_weekly_activity","activities_w_1","activities_w_2","activities_w_3","activities_w_4","total_4weeks","avg_weekly_4weeks","week_1_vs_2_change","week_2_vs_3_change","week_3_vs_4_change","activity_correlation","current_vs_baseline_ratio","current_vs_max_ratio","weeks_with_activity","weeks_with_zero_activity","consecutive_zero_weeks","activity_consistency","total_activities","activities_last_30d","activities_last_7d","activities_last_3d","unique_tasks_30d","unique_days_active_30d","unique_days_active_7d","days_since_last_activity","activities_per_day_30d","activities_per_active_day_30d","strong_decline","moderate_decline","stable_trend","growing_trend","no_recent_activity","sporadic_user","inactive_user","dormant_user","below_baseline","well_below_max","highly_inconsistent","zero_activity_period","churn_probability","health_score","risk_level"
134280,624,0,1,16,1,"weeks_5-12",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,621,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
137047,536,0,1,21,1,"weeks_5-12",3.25,93,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3939,0,0,0,0,0,0,83,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
136251,558,0,1,22,1,"weeks_5-12",0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2849,0,0,0,0,0,0,220,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
121079,1118,0,1,22,1,"weeks_5-12",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1759,0,0,0,0,0,0,445,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
8689,1271,0,1,26,1,"weeks_5-12",2.875,94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8509,0,0,0,0,0,0,53,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
125112,916,0,1,29,1,"weeks_5-12",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,160,0,0,0,0,0,0,870,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.954,4.6,"Critical Risk"
141099,462,0,1,24,1,"weeks_5-12",0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2714,0,0,0,0,0,0,125,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.95,5,"Critical Risk"
7598,1346,0,1,29,1,"weeks_5-12",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1327,0,0,0,0,0,0,403,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.95,5,"Critical Risk"
136730,543,0,1,30,1,"weeks_5-12",0.25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,39,0,0,0,0,0,0,47,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.95,5,"Critical Risk"
139112,504,0,1,12,1,"weeks_5-12",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,0,0,225,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.948,5.2,"Critical Risk"
3988,1676,0,1,28,1,"weeks_5-12",3.125,151,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5808,0,0,0,0,0,0,41,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.948,5.2,"Critical Risk"
131110,717,0,1,3,1,"weeks_5-12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,660,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.946,5.4,"Critical Risk"
7722,1340,0,1,9,1,"weeks_5-12",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,97,0,0,0,0,0,0,244,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.946,5.4,"Critical Risk"
138397,516,0,1,15,1,"weeks_5-12",1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,22,0,0,0,0,0,0,67,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.946,5.4,"Critical Risk"
135824,570,0,1,176,0,"weeks_5-12",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,14,0,0,0,0,0,0,486,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.944,5.6,"Critical Risk"
133346,661,0,1,84,0,"weeks_5-12",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,278,0,0,0,0,0,0,326,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.942,5.8,"Critical Risk"
137666,528,0,1,25,1,"weeks_5-12",0.875,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,203,0,0,0,0,0,0,59,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.94,6,"Critical Risk"
6358,1439,0,1,26,1,"weeks_5-12",0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2930,0,0,0,0,0,0,142,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.94,6,"Critical Risk"
