company_id,tenure_days,is_new_customer,is_mature_customer,days_to_contract_end,contract_expiring_soon,baseline_type,baseline_weekly_avg,max_weekly_activity,activities_w_1,activities_w_2,activities_w_3,activities_w_4,total_4weeks,avg_weekly_4weeks,week_1_vs_2_change,week_2_vs_3_change,week_3_vs_4_change,activity_correlation,current_vs_baseline_ratio,current_vs_max_ratio,weeks_with_activity,weeks_with_zero_activity,consecutive_zero_weeks,activity_consistency,total_activities,activities_last_30d,activities_last_7d,activities_last_3d,unique_tasks_30d,unique_days_active_30d,unique_days_active_7d,days_since_last_activity,activities_per_day_30d,activities_per_active_day_30d,strong_decline,moderate_decline,stable_trend,growing_trend,no_recent_activity,sporadic_user,inactive_user,dormant_user,below_baseline,well_below_max,highly_inconsistent,zero_activity_period,churn_probability,health_score,risk_level,company,num_contacts,quantity
149142,207,0,0,536,0,weeks_5-12,130.0,169,0,0,0,65,65,16.25,0.0,0.0,-1.0,-0.774596669241483,0.125,0.0961538461538462,1,3,3,1.98776758409786,3212,98,0,0,2,5,0,25,3.26666666666667,19.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,JD-Logistik,0,11
153104,146,0,0,6,1,weeks_5-12,90.25,114,0,0,0,35,35,8.75,0.0,0.0,-1.0,-0.774596669241483,0.0969529085872576,0.0767543859649123,1,3,3,1.9774011299435,1170,50,0,0,3,6,0,25,1.66666666666667,8.33333333333333,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,STEELWOOD Interior,9,8
153262,144,0,0,7,1,weeks_5-12,50.625,73,0,0,0,31,31,7.75,0.0,0.0,-1.0,-0.774596669241483,0.153086419753086,0.106164383561644,1,3,3,1.97452229299363,855,44,0,0,2,4,0,25,1.46666666666667,11.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Segelmanufactur F. Ertel,0,8
156014,94,0,0,647,0,weeks_5-12,186.25,212,0,0,0,115,115,28.75,0.0,0.0,-1.0,-0.774596669241483,0.154362416107383,0.13561320754717,1,3,3,1.99306759098787,1977,153,0,0,3,5,0,25,5.1,30.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Krieger Wasseraufbereitungs GmbH,1,19
154121,131,0,0,12,1,weeks_5-12,58.875,86,0,0,0,24,24,6.0,0.0,0.0,-1.0,-0.774596669241483,0.101910828025478,0.0697674418604651,1,3,3,1.9672131147541,708,53,0,0,3,5,0,25,1.76666666666667,10.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,SolWart GmbH,0,7
148220,232,0,0,8,1,weeks_5-12,70.0,110,0,0,0,54,54,13.5,0.0,0.0,-1.0,-0.774596669241483,0.192857142857143,0.122727272727273,1,3,3,1.98529411764706,1495,59,0,0,3,4,0,25,1.96666666666667,14.75,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,LTD Elektro,6,12
153664,138,0,0,18,1,weeks_5-12,46.75,62,0,0,0,35,35,8.75,0.0,0.0,-1.0,-0.774596669241483,0.18716577540107,0.141129032258065,1,3,3,1.9774011299435,718,48,0,0,2,4,0,25,1.6,12.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Felipe Pikullik Uhrenmanufaktur,0,8
154624,123,0,0,19,1,weeks_5-12,106.375,192,0,0,0,61,61,15.25,0.0,0.0,-1.0,-0.774596669241483,0.143360752056404,0.0794270833333333,1,3,3,1.98697068403909,1721,86,0,0,3,6,0,25,2.86666666666667,14.3333333333333,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Daniel Bräucker Transporte,3,20
152057,157,0,0,22,1,weeks_5-12,31.5,43,0,0,0,23,23,5.75,0.0,0.0,-1.0,-0.774596669241483,0.182539682539683,0.133720930232558,1,3,3,1.96581196581197,664,33,0,0,2,5,0,25,1.1,6.6,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Kita Katharina von Bora,8,5
151810,160,0,0,23,1,weeks_5-12,70.375,128,0,0,0,49,49,12.25,0.0,0.0,-1.0,-0.774596669241483,0.174067495559503,0.095703125,1,3,3,1.98380566801619,1601,60,0,0,2,5,0,25,2.0,12.0,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,2B Immobilien GmbH,0,12
